hero,n
Ana,11
Bastion,4
D.Va,17
Doomfist,2
Genji,22
Hanzo,1
Junkrat,17
Lucio,18
Mccree,15
Mercy,26
Moira,9
Orisa,16
Pharah,15
Reaper,3
Reinhardt,10
Roadhog,19
Soldier: 76,17
Sombra,6
Tracer,24
Widowmaker,21
Winston,18
Zarya,8
Zenyatta,20
