player,role,hero,hero role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg
mg,off tank,Roadhog,tank,90,1097,808,0.36,0,0.64,0.259,0.148,0.593,0.333,0.4,6.56,-0.17,8.2,0.42,3.28,0.1,91,-0.16,0,0,7.4,0.68,27,0.074,-0.5,0.074,-0.16,0,0,0,0,95,-0.16,24,-0.19,0,0
mg,off tank,Zarya,tank,116,1054,963,0,0,1,0.464,0,0.536,0.17,-0.03,4.55,-0.24,6.26,0.12,3.98,0.43,95,-0.17,0,0,25,0.87,28,0.036,-0.49,0,0,0,0,0,0,85,-0.28,22,-0.18,0,0
Roshan,tank,Winston,tank,123,25320,522,0.16,0.04,0.8,0.3,0.049,0.651,0.136,-0.23,3.53,-0.42,9.53,0.54,3.74,0.14,111,0.02,0,0,4.8,-0.2,513,0.035,-0.57,0.191,0.95,0,0,0,0,116,0.03,16,-0.49,0.169,0.99
Roshan,tank,Orisa,tank,18,4889,860,0.32,0,0.68,0.414,0.069,0.517,0.102,0.12,2.95,-0.1,7.61,0.29,2.21,-0.16,106,-0.11,0,0,17,1.58,116,0.026,-0.4,0.095,0.36,0,0,0,0,115,-0.09,17,-0.12,0.167,0.61
Roshan,tank,Reinhardt,tank,82,2243,604,0.26,0,0.74,0.481,0,0.519,0.088,-0.47,2.68,-0.52,9.1,0.35,3.75,0.08,118,0.22,0,0,23.4,1.93,52,0.019,-0.78,0.231,0.85,0,0,0,0,127,0.22,12,-0.66,0,0
Freefeel,Support,Zenyatta,support,112,27387,826,0.18,0.04,0.78,0.312,0.044,0.644,0.091,-0.13,2.41,-0.35,7.03,0.13,3.9,0.14,104,0.02,0,0,-2.5,-1.4,564,0.043,-0.22,0.09,-0.15,0,0,0,0,107,0.01,26,-0.12,0.057,-0.3
Freefeel,Support,Ana,support,112,1607,942,0.21,0,0.79,0.486,0.081,0.432,0,-1,0,-1,4.85,-0.12,4.11,0,83,-0.04,0,0,-8.6,-2.16,37,0,0,0.054,-0.36,NaN,NaN,NaN,NaN,88,0.04,10,-0.68,0,0
FiveKing,Support,Lucio,support,134,4215,1030,0.17,0,0.83,0.366,0.043,0.591,0.07,-0.01,1.85,-0.23,5.12,-0.06,3.84,0.33,92,-0.23,0,0,4.3,-0.39,93,0.022,-0.15,0.043,-0.35,0,0,0,0,102,-0.16,23,-0.22,0.074,0.23
FiveKing,Support,Mercy,support,73,7779,852,0.18,0,0.82,0.281,0.063,0.656,0,-1,0,-1,5.63,0.12,3.47,-0.07,106,0.11,0,0,-8.6,-2.91,160,0,0,0.05,-0.22,NaN,NaN,NaN,NaN,102,0.13,27,-0.09,0.067,0.03
Fury,Flex,D.Va,tank,148,29511,1126,0.64,0,0.36,0.543,0.058,0.399,0.177,-0.01,6.81,0.12,4.05,-0.12,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,602,0.07,-0.07,0.02,-0.41,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
