player,role,hero,hero.role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg,simple_model_role,pred_ri_role,pred_rs_role,pred_rsi_role,simple_model,pred_ri,pred_rs,pred_rsi
HOTBA,Flex,D.Va,Tank,148,9924,983,0.5,0,0.5,0.467,0.072,0.462,0.173,-0.04,6.29,0.03,4.47,-0.03,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,195,0.051,-0.32,0.015,-0.56,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,974.0541993468225,936.8815961563963,940.0519273404692,938.6088066503243,974.0541993468225,985.1259436720956,991.499047422207,985.3162968961366
Gesture,tank,Winston,Tank,123,31978,1082,0.66,0,0.34,0.521,0.052,0.427,0.186,0.05,7.11,0.16,5.93,-0.04,4,0.21,103,-0.06,0,0,11,0.83,653,0.067,-0.17,0.109,0.11,0,0,0,0,114,0.01,21,-0.32,0.157,0.85,1021.5728307617157,988.3306832867191,987.7922791115839,987.6062718581511,1021.5728307617157,976.6126071516156,988.7299670099665,1002.3282173340583
Gesture,tank,Orisa,Tank,18,4744,1076,0.7,0,0.3,0.667,0.048,0.286,0.106,0.17,4.05,0.24,5.19,-0.12,3.92,0.48,82,-0.31,0,0,5.6,-0.15,105,0.067,0.56,0.048,-0.31,0,0,0,0,127,0,8,-0.56,0.2,0.92,1150.0491305130936,1127.4337707131472,1116.8680450112643,1120.080900012646,1150.0491305130936,1035.6948702125906,1011.2683142533931,1017.6026608649702
Gesture,tank,Reinhardt,Tank,82,2078,1109,0.62,0,0.38,0.533,0.044,0.422,0.18,0.08,5.77,0.03,6.35,-0.06,3.75,0.08,87,-0.11,0,0,13.3,0.66,45,0.111,0.29,0.133,0.06,0,0,0,0,98,-0.06,46,0.3,0.083,0.89,1032.132526631692,999.7638137601242,998.4012461718315,998.4945974598904,1032.132526631692,1036.9526207451167,1044.4624084439768,1045.6802974463862
Profit,dps,Genji,Offense,111,10040,1024,0.61,0,0.39,0.449,0.066,0.485,0.267,0.08,10.34,0.19,6.51,0.07,3.82,0.05,104,0.09,0,0,17.3,0.53,198,0.136,0.04,0.096,0.04,0,0,0,0,111,0.16,31,-0.02,0.066,0.78,958.2146555418581,956.4420294583346,957.4175337859683,957.090227147134,958.2146555418581,1012.7645367609533,1008.4607439570926,1011.5686265422911
Profit,dps,Junkrat,Defense,26,9372,1196,0.63,0,0.37,0.618,0.04,0.342,0.309,0.05,11.4,0.09,5.19,-0.2,6.27,0.36,62,-0.23,0,0,3.8,-0.45,199,0.206,0.04,0.095,-0.11,0,0,0,0,79,-0.05,13,-0.29,0.227,0.79,1106.9303723773573,1038.6631576926452,1024.8561334997135,1028.6238107927984,1106.9303723773573,1066.8510129878616,1062.2077694155978,1064.8441523398712
Profit,dps,Tracer,Offense,151,14695,1222,0.7,0,0.3,0.595,0.046,0.359,0.245,-0.03,10.09,0.14,4.25,-0.27,6.74,0.27,60,-0.15,0,0,4,-0.23,304,0.148,0.13,0.063,-0.27,0,0,0,0,76,-0.02,16,-0.35,0.145,0.84,1086.6909552932361,1095.5451168847628,1097.3145520848402,1096.8710272271583,1086.6909552932361,1063.0058686800292,1071.3560168312688,1110.7548352423464
Hooreg,dps,Pharah,Offense,70,1781,951,0.92,0,0.08,0.667,0,0.333,0.225,-0.22,9.1,-0.1,6.74,0.09,4.72,0.31,65,-0.28,0,0,16.7,0.4,36,0.083,-0.49,0.194,1.31,0,0,0,0,73,-0.23,19,-0.42,0.143,1.55,1150.0491305130936,1164.1438997251933,1166.3048624788048,1165.8040245268962,1150.0491305130936,1156.9087205575343,1141.0309987296896,1113.0521060650487
Hooreg,dps,Mccree,Offense,67,1179,951,0.7,0,0.3,0.565,0.087,0.348,0.207,-0.23,8.65,-0.08,5.6,-0.17,3.05,-0.2,80,0.06,0,0,26.8,1.65,23,0.087,-0.46,0.174,0.45,0,0,0,0,72,-0.11,34,0.17,0,0,1060.2917156182953,1066.9622907012501,1068.5685894206886,1068.148945018934,1060.2917156182953,1056.2777733226708,1057.1948674172486,1060.5796883356861
Hooreg,dps,Widowmaker,Defense,42,941,969,0.7,0,0.3,0.435,0.087,0.478,0.259,0.01,9.56,0.07,6.38,0.07,3.83,-0.1,93,0.14,0,0,36.5,4.14,23,0.13,-0.32,0.13,0.13,0,0,0,0,69,-0.16,0,-1,0,0,945.8950103602191,864.3079179732177,877.4878796348903,872.5230065177531,945.8950103602191,871.032191043045,881.6480040881806,879.9176696930878
